Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM, [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , Qty ,Notes
Scope 3,Purchased Goods & Services,Repair services of computers and personal and household goods       ,SPEND-SIC-2022-95,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other personal services             ,SPEND-SIC-2022-96,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Services of households as employers of domestic personnel        ,SPEND-SIC-2022-97,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Bread and cereals         ,SPEND-PROD-2022-1-1-1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Meat           ,SPEND-PROD-2022-1-1-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Fish and seafood         ,SPEND-PROD-2022-1-1-3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Milk, cheese and eggs        ",SPEND-PROD-2022-1-1-4,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Oils and fats         ,SPEND-PROD-2022-1-1-5,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Fruit           ,SPEND-PROD-2022-1-1-6,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Vegetables           ,SPEND-PROD-2022-1-1-7,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Sugar, jam, honey, chocolate and confectionery      ",SPEND-PROD-2022-1-1-8,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Food products n.e.c.         ,SPEND-PROD-2022-1-1-9,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Coffee, tea and cocoa        ",SPEND-PROD-2022-1-2-1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Mineral waters, soft drinks, fruit and vegetable juices    ",SPEND-PROD-2022-1-2-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Spirits           ,SPEND-PROD-2022-2-1-1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Wine           ,SPEND-PROD-2022-2-1-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Beer           ,SPEND-PROD-2022-2-1-3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Tobacco           ,SPEND-PROD-2022-2-2-1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Clothing materials          ,SPEND-PROD-2022-3-1-1,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Garments           ,SPEND-PROD-2022-3-1-2,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Other articles of clothing and clothing accessories     ,SPEND-PROD-2022-3-1-3,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,"Cleaning, repair and hire of clothing      ",SPEND-PROD-2022-3-1-4,GBP,,,,,,,,,,,,, -   ,
Scope 3,Purchased Goods & Services,Shoes and other footwear        ,SPEND-PROD-2022-3-2-1,GBP,,,,,,,,,,,,, -   ,
