Client Name:,Bushy Tails,Job Number:,DUMMY-2026-0005-01,,,,,,,,,,,,,,,,,,,,
Site Name:,Bristol,Report From:,,To:,,,,,,,,,,,,,,,,,,,
Data Files:,"2025-DESNZ-Conversion-Factors-Activity 2025, 2025-DESNZ-Conversion-Factors-Activity 2025, 2022-DEFRA-Conversion-Factors-Spend 2022",,,,,,,,,,,,,,,,,,,,,,
Scope,Category,Report Label,ID,UOM,GHG Unit,Factor, Qty , [Mth1] , [Mth2] , [Mth3] , [Mth4] , [Mth5] , [Mth6] , [Mth7] , [Mth8] , [Mth9] , [Mth10] , [Mth11] , [Mth12] , tCO2e , Apply , tCO2e ,Notes
Scope 1,Company Vehicles,HGV (all diesel) All artics Average laden,5_304_3136_9_1,miles,kg CO2e,1.49432,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGV (all diesel) All HGVs Average laden,5_304_3140_9_1,miles,kg CO2e,1.43425,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Rigid (>3.5 - 7.5 tonnes) Average laden,5_305_3112_9_1,miles,kg CO2e,0.94959,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Rigid (>7.5 tonnes-17 tonnes) Average laden,5_305_3116_9_1,miles,kg CO2e,1.15952,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Rigid (>17 tonnes) Average laden,5_305_3120_9_1,miles,kg CO2e,1.90036,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) All rigids Average laden,5_305_3124_9_1,miles,kg CO2e,1.60513,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Articulated (>3.5 - 33t) Average laden,5_305_3128_9_1,miles,kg CO2e,1.46061,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) Articulated (>33t) Average laden,5_305_3132_9_1,miles,kg CO2e,1.7389,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) All artics Average laden,5_305_3136_9_1,miles,kg CO2e,1.72834,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 1,Company Vehicles,HGVs refrigerated (all diesel) All HGVs Average laden,5_305_3140_9_1,miles,kg CO2e,1.67891,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 2,Electricity,Electricity Grid  ,7_400_4000_5_1,kWh,kg CO2e,0.177,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 2,Green Electricity,Green Electricity Grid  ,Not-Defined1,kWh,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
Scope 2,Green Electricity,Green Electricity Solar Grid ,Not-Defined2,kWh,kg CO2e,0,,,,,,,,,,,,,, -   ,100%, -   ,
