Year,ID,Method,Scope,Category ,Level 2,Level 3,Level 4,Report Label,UOM,GHG/Unit,GHG Conversion Factor 2025,Valid From,Valid To,Source
2022,SPEND-PROD-2022-9-3-3,Spend,Scope 3,"Gardens, plants and flowers        ",,,,"Gardens, plants and flowers        ",GBP,kg CO2e,0.356333528,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-3-4,Spend,Scope 3,Pets and related products        ,,,,Pets and related products        ,GBP,kg CO2e,2.133092718,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-3-5,Spend,Scope 3,Veterinary and other services for pets      ,,,,Veterinary and other services for pets      ,GBP,kg CO2e,0.689468913,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-4-1,Spend,Scope 3,Recreational and sporting services        ,,,,Recreational and sporting services        ,GBP,kg CO2e,0.177522642,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-4-2,Spend,Scope 3,Cultural services          ,,,,Cultural services          ,GBP,kg CO2e,0.312925249,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-4-3,Spend,Scope 3,Games of chance         ,,,,Games of chance         ,GBP,kg CO2e,2.069348149,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-5-1,Spend,Scope 3,Books           ,,,,Books           ,GBP,kg CO2e,0.603785503,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-5-2,Spend,Scope 3,Newspapers and periodicals         ,,,,Newspapers and periodicals         ,GBP,kg CO2e,0.603785503,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-5-3,Spend,Scope 3,Miscellaneous printed matter         ,,,,Miscellaneous printed matter         ,GBP,kg CO2e,0.603785503,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
2022,SPEND-PROD-2022-9-5-4,Spend,Scope 3,Stationery and drawing materials        ,,,,Stationery and drawing materials        ,GBP,kg CO2e,0.603785503,01/01/2022,,UK DEFRA spendy-based conversion factors 2022
